Snowballing: Backward/Forward,Method,Annotator 1,Annotator 2,Origin Paper,,
"Feature-Oriented Defect Prediction: Scenarios, Metrics, and Classifiers",Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Feature subset selection for learning huge configuration spaces: the case of linux kernel size,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Improving Software Engineering Research Through Experimentation Workbenches,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Consistent View-Based Management of Variability in Space and Time,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Machine Learning for Performance Modelling on Colossal Software Configuration Spaces,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Facilitating Feature-Oriented Quality Assurance in Low-Maturity Variant-Rich Systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Improving Post-Deployment Configuration of Cyber-Physical Systems Using Machine Learning and Multi-Objective Search,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,cyber physical systems,
An approach to safely evolve preprocessor-based C program families,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Learning feature interactions with and without specifications,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Interpretability of configurable software in the biosciences,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Understanding Variability-Aware Analysis in Low-Maturity Variant-Rich Systems,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Software unbundling: Challenges and perspectives,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Comparing the Intensity of Variability Changes in Software Product Line Evolution,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Variability models in large-scale systems: A study and a reverse-engineering technique,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
The pathway to customised product solutions,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Employing Multi-Objective Search and Machine Learning to Mine Cross Product Line Rules: A Technical Report,Forward ,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Location of Features as Model Fragments and their Co-Evolution,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Constructing feature model by identifying variability-aware modules,Forward ,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
On extracting feature models from product descriptions,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Identifying inactive code in product lines with configuration-aware system dependence graphs,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Handling preprocessorconditioned declarations,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Preprocessor conditional removal by simple partial evaluation,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Transitioning legacy assets to a product line architecture,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Automated analysis of feature models 20 years later: A literature review,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Three cases of feature-based variability modeling in industry,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A survey of variability modeling in industrial practice,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Formal semantics of the CDL language,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Featureto-Code mapping in two large product lines,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A study of variability models and languages in the systems software domain,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Variability modeling in the real: A perspective from the operating systems domain,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Mining existing assets for software product lines,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Spllift-Statically analyzing software product lines in minutes instead of years,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Intraprocedural dataflow analysis for software product lines,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Verifying feature-based model templates against well-formedness OCL constraints,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,configuration language,
Feature model extraction from large collections of informal product descriptions,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Efficient reuse of domain-specific test knowledge: An industrial case in the smart card domain,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
The DOPLER meta-tool for decision-oriented variability modeling: A multiple case study,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
An empirical analysis of C preprocessor use,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Verifying architectural design rules of the flight software product line,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Supporting domain analysis through mining and recommending features from online product listings,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Preprocessor-based variability in opensource and industrial software systems,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Running a software product lineStanding still is going backwards,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Feature-oriented domain analysis (FODA) feasibility study,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Type checking annotation-based product lines,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Variability-aware parsing in the presence of lexical macros and conditional compilation,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A variability-aware module system,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Validating consistency between a feature model and its implementation,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
An analysis of the variability in forty preprocessor-based software product lines,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Scalable analysis of variable software,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Evolution of the Linux kernel variability model,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
"Disambiguating the documentation of variability in software product lines: A separation of concerns, formalization and automated analysis",Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Mining Kbuild to detect variability anomalies in Linux,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
The Linux kernel: A case study of build system variability,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Exploring variability-aware execution for testing plugin-based web applications,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A survey of combinatorial testing,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Parsing C/C++ code without pre-processing,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Coevolution of variability models and related artifacts: A case study from the Linux kernel,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
A study of non-Boolean constraints in variability models of an embedded operating system,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,configuration language,
Experiences developing and maintaining software in a multi-platform environment,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Using symbolic evaluation to understand behavior in configurable software systems,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Guidelines for conducting and reporting case study research in software engineering,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
The variability model of the Linux kernel,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Reverse engineering feature models,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Evolutionary introduction of software product lines,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Is the Linux kernel a software product line?,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Efficient extraction and analysis of preprocessor-based variability,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
MAP—Mining architectures for product line evaluations,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Build code analysis with symbolic evaluation,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
"Feature consistency in compile-time-configurable system software: Facing the Linux 10,000 feature problem",Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Safe composition of product lines,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Analysis strategies for software product lines,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Reasoning about edits to feature models,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Presence-condition simplification in highly configurable systems,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Automated diagnosis of product-line configuration errors in feature models,Backward,relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Extracting configuration knowledge from build files with symbolic analysis,Backward,not-relevant,,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study,,
Practitioners' expectations on automated fault localization,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
An empirical study on performance bugs for highly configurable software systems,Forward,relevant,,Automated diagnosis of software configuration errors,,
Automating performance bottleneck detection using search-based application profiling,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Cacheoptimizer: Helping developers configure caching frameworks for hibernate-based database-centric web applications,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
POD-Diagnosis: Error diagnosis of sporadic operations on cloud applications,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Automated Bug Removal for Software-Defined Networks,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Feature-level fusion of multimodal physiological signals for emotion recognition,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Talos: Neutralizing vulnerabilities with security workarounds for rapid response,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
"The first decade of gui ripping: Extensions, applications, and broader impacts",Forward,not-relevant,,Automated diagnosis of software configuration errors,,
"Automated test oracles: State of the art, taxonomies, and trends",Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Parallel branch and bound on a CPU-GPU system,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Deep software variability: Towards handling cross-layer configuration,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Automated network repair with meta provenance,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Confprof: White-box performance profiling of configuration options,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Time-space efficient regression testing for configurable systems,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Colua: Automatically predicting configuration bug reports and extracting configuration options,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Towards understanding bugs in an open source cloud management stack: An empirical study of OpenStack software bugs,Forward,not accessible,,Automated diagnosis of software configuration errors,,
Deepprof: Performance analysis for deep learning applications via mining gpu execution patterns,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Staccato: A bug finder for dynamic configuration updates,Forward,relevant,,Automated diagnosis of software configuration errors,,
Understanding differences among executions with variational traces,Forward,relevant,,Automated diagnosis of software configuration errors,,
TrEKer: Tracing error propagation in operating system kernels,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Inferring and applying def-use like configuration couplings in deployment descriptors,Forward,relevant,,Automated diagnosis of software configuration errors,,
Semantic segmentation and description for video transcoding,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Dissimilarity‐based test case prioritization through data fusion,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
A review of scientific research in defensive cyberspace operation tools and technologies,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Software troubleshooting using machine learning,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Ocasta: Clustering configuration settings for error recovery,Forward,relevant,,Automated diagnosis of software configuration errors,,
Detecting inter-component configuration errors in proactive: a relation-aware method,Forward,relevant,,Automated diagnosis of software configuration errors,,
Efficient Dependability Assessment of Systems Software,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Improving preference recommendation and customization in real world highly configurable software systems,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Poster: Re-Testing Configured Instances in the Production Environment-A Method for Reducing the Test Suite,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Csminer: An automated tool for analyzing changes in configuration settings across multiple versions of large scale cloud software,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Variability Anomalies in Software Product Lines,Forward,relevant,,Automated diagnosis of software configuration errors,,
Regression Test Suite Reduction for Cloud Systems,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Automatically Fixing Performance Bugs and Extracting Bug Signatures for Cloud Systems,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
A systematic mapping study of software performance research,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Variational debugging: understandig differences among executions,Forward,relevant,,Automated diagnosis of software configuration errors,,
A lightweight IoT firmware vulnerability detection scheme based on homology detection,Forward,not found,,Automated diagnosis of software configuration errors,,
"Recent Progress in Software Testing, Debugging and Analysis: A Survey",Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Physicomimetics for mobile robot obstacle avoidance,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Data Center Diagnostics with Network Provenance,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Improving the performance of database-centric applications through program analysis,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Extracting configuration parameter interactions using static analysis,Forward,relevant,,Automated diagnosis of software configuration errors,,
Efficient fault localization during replay of embedded software,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
A cost effective and preventive approach to avoid integration faults caused by mistakes in distribution of software components,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
"CONFPROFITT: A CONFIGURATION-AWARE PERFORMANCE PROFILING, TESTING, AND TUNING FRAMEWORK",Forward,not-relevant,,Automated diagnosis of software configuration errors,,
On Improving (Non) Functional Testing,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Xeditor: Inferring and Applying XML Consistency Rules,Forward,relevant,,Automated diagnosis of software configuration errors,,
Senx: Semantically Correct Patch Generation for Security Vulnerabilities,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Testing and debugging: A reality check,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Extending Provenance for Deep Diagnosis of Distributed Systems,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Automated Reproduction and Analysis of Bugs in Embedded Software,Forward,not accessible,,Automated diagnosis of software configuration errors,,
Effective Program Analyses for Automated Software Testing and Error Diagnosis,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Comprehensive assessment of 3D visual images,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Identifying a configuration element value as a potential cause of a testing operation failure,Forward,not-relevant,,Automated diagnosis of software configuration errors,,
Dytan: A generic dynamic taint analysis framework,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Dynamically discovering likely program invariants to support program evolution,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Using feature locality: can we leverage history to avoid failures during reconfiguration?,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Interprocedural slicing using dependence graphs,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Scalable statistical bug isolation,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Predicting problems caused by component upgrades,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Self-repair through reconfiguration: A requirements engineering approach,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Managing Gigabytes: Compressing and Indexing Documents and Images,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
An empirical study on configuration errors in commercial and open source systems,Backward,relevant,,Automated diagnosis of software configuration errors,,
Isolating cause-effect chains from computer programs,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Effective identification of failureinducing changes: a hybrid approach,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Combined static and dynamic automated test generation,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Automated documentation inference to explain failed tests,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Precise dynamic slicing algorithms,Backward,not-relevant,,Automated diagnosis of software configuration errors,,
Characterizing configuration problems in java ee application servers: An empirical study with glassfish and jboss,Forward,relevant,,ConfDiagnoser: an automated configuration error diagnosis tool for Java software,,
Multi-layer software configuration: Empirical study on wordpress,Forward,relevant,,ConfDiagnoser: an automated configuration error diagnosis tool for Java software,,
A provisioning service for automatic command line applications deployment in computing clouds,Forward,not-relevant,,ConfDiagnoser: an automated configuration error diagnosis tool for Java software,,
Failure characterization and error detection in distributed web applications,Forward,not-relevant,,ConfDiagnoser: an automated configuration error diagnosis tool for Java software,,
Understanding software provisioning: An ontological view,Forward,not-relevant,,ConfDiagnoser: an automated configuration error diagnosis tool for Java software,,
Modern release engineering in a nutshell--why researchers should care,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Bottom-up adoption of software product lines: a generic and extensible approach,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
42 variability bugs in the linux kernel: a qualitative analysis,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Variability-aware static analysis at scale: An empirical study,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Variability bugs in highly configurable systems: a qualitative analysis,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Bayesian data analysis in empirical software engineering research,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Coevolution of variability models and related software artifacts,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Automated extraction of product comparison matrices from informal product descriptions,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Traceability link recovery between requirements and models using an evolutionary algorithm guided by a learning to rank algorithm: Train control and management case,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Morpheus: Variability-aware refactoring in the wild,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Breathing ontological knowledge into feature model synthesis: an empirical study,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Role of requirement prioritization technique to improve the quality of highly-configurable systems,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Efficient compiler autotuning via bayesian optimization,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Mining feature models from functional requirements,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Combinatorial interaction testing for automated constraint repair,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Analysing the kconfig semantics and its analysis tools,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,configuration language,
FEVER: An approach to analyze feature-oriented changes and artefact co-evolution in highly configurable systems,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Automating variability model inference for component-based language implementations,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,configuration language and modeling,
Validation of constraints among configuration parameters using search-based combinatorial interaction testing,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Towards clone-and-own support: locating relevant methods in legacy products,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Towards quality assurance of software product lines with adversarial configurations,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Varxplorer: Lightweight process for dynamic analysis of feature interactions,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Empirical assessment of generating adversarial configurations for software product lines,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Fragment retrieval on models for model maintenance: Applying a multi-objective perspective to an industrial case study,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
"A critical comparison on six static analysis tools: detection, agreement, and precision",Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Exploring feature interactions without specifications: A controlled experiment,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
WebFML: synthesizing feature models everywhere,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Analyzing the impact of natural language processing over feature location in models,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Lifting inter-app data-flow analysis to large app sets,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
FHistorian: Locating features in version histories,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Automatic detection and removal of conformance faults in feature models,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
A semi-automated iterative process for detecting feature interactions,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Refactoring java software product lines,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Towards a Circular Economy of Industrial Software,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Feature models in linux: From symbols to semantics,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Leveraging feature location to extract the clone-and-own relationships of a family of software products,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
A source level empirical study of features and their interactions in variable software,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Legato: An at-most-once analysis with applications to dynamic configuration updates,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Facilitating Reuse of Functions in Embedded Software,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Do# ifdef-based Variation Points Realize Feature Model Constraints?,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Mining software artefact variants for product line migration and analysis,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
SPLRevO: optimizing complex feature models in search based reverse engineering of software product lines,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Analysis and Transformation of Configurable Systems,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
On the variability secrets of an online video generator,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Feature interactions in highly configurable systems: a dynamic analysis approach with VarXplorer,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Bayesian statistics in software engineering: Practical guide and case studies,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Matrixminer: a red pill to architect informal product descriptions in the matrix,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
An improved multiagent reinforcement learning algorithm,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Towards adversarial configurations for software product lines,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Automated repairing of variability models,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Towards scalable configuration testing in variable software,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Challenges of implementing software variability in eclipse OMR: an interview study,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Feature Location in Models (FLiM): Design Time and Runtime,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Machine Learning for Feature Constraints Discovery,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Predicting higher order structural feature interactions in variable systems,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Unanticipated context awareness for software configuration access using the getenv API,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Synthesis of attributed feature models from product descriptions: Foundations,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Variability code analysis using the VITAL tool,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Varxplorer: Reasoning about feature interactions,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Locating clone-and-own relationships in model-based industrial families of software products to encourage reuse,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
A Novel Vehicle Tracking Algorithm Using Video Image Processing,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Variability-Aware Analysis of C Source Code,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Harmonics extraction based on higher order statistics spectrum decomposition for a unified texture model,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
A Bottom-Up Approach for Feature Model Extraction from Business Process Models,Forward,not accessible,,Mining configuration constraints: static analyses and empirical results,,
Managing software evolution through semantic history slicing,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Using software testing to repair models,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
A faculty-driven quality initiative at the Colorado School of Mines,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Understanding variable code: Reducing the complexity by integrating variability information,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
TYPECHEF meets SPL LIFT Interprocedural Data-Flow Analysis of Configurable Software Systems,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Using constraint solvers to find valid software configurations,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Mis. Config: Finding Misreferred Configuration Bugs in Web Application Using Thin Slicing,Forward,not accessible,,Mining configuration constraints: static analyses and empirical results,,
A Feature-Oriented Method for Extracting a Product Line Asset from a Family of Legacy Applications,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
The Structure of Variable Software and its use for Testing,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Comprehensive Static Analysis for Configurable Software via Combinatorial Instantiation,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Assessing Performance Evolution Of Configurable Software Systems,Forward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Reflective and relativistic refactoring with feature-awareness,Forward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Handling preprocessor-conditioned declarations,Backward,relevant,,Mining configuration constraints: static analyses and empirical results,,
Feature-to-Code mapping in two large product lines,Backward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
"Generative Programming: Methods, Tools, and Applications",Backward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Formal semantics of the Kconfig language,Backward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Code-based variability model extraction for software product line improvement,Backward,not-relevant,,Mining configuration constraints: static analyses and empirical results,,
Engineering data logistics for agile automation systems engineering,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Facilitating the evolution of products in product line engineering by capturing and replaying configuration decisions,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Supporting awareness during collaborative and distributed configuration of multi product lines,Forward,relevant,,Managing emerging configuration dependencies in multi product lines,,
Efficient monitoring of multi-disciplinary engineering constraints with semantic data integration in the multi-model dashboard process,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Evaluating feature change impact on multi-product line configurations using partial information,Forward,relevant,,Managing emerging configuration dependencies in multi product lines,,
Multiple software product lines: applications and challenges,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Early and efficient quality assurance of risky technical parameters in a mechatronic design process,Forward,not-relevant,,Managing emerging configuration dependencies in multi product lines,,
Safe evolution of product populations and multi product lines,Forward,relevant,,Managing emerging configuration dependencies in multi product lines,,
